165 - 146 - 6464,7704 ms
166 - 124 - 6481,9177 ms
167 - 135 - 6466,9135 ms
168 - 146 - 6513,5926 ms
169 - 175 - 6464,5312 ms
170 - 148 - 6485,1559 ms
171 - 156 - 6468,9898 ms
172 - 151 - 6478,4667 ms
173 - 142 - 6467,1336 ms
174 - 114 - 6455,6745 ms
175 - 176 - 6498,6661 ms
176 - 173 - 6466,561 ms
177 - 143 - 6466,299 ms
178 - 149 - 6468,8343 ms
179 - 146 - 6461,6062 ms
180 - 139 - 6462,4913 ms
181 - 134 - 6514,234 ms
182 - 107 - 6498,9634 ms
183 - 110 - 6468,2743 ms
184 - 154 - 6496,7364 ms
185 - 122 - 6484,6949 ms
186 - 95 - 6465,7189 ms
187 - 101 - 6466,5306 ms
188 - 147 - 6487,4924 ms
189 - 109 - 6462,7594 ms
190 - 133 - 6482,8762 ms
191 - 142 - 6483,5927 ms
192 - 116 - 6495,3664 ms
193 - 99 - 6455,4362 ms
194 - 112 - 6491,2657 ms
195 - 114 - 6480,6822 ms
196 - 88 - 6466,4547 ms
197 - 88 - 6483,4135 ms
198 - 123 - 6442,1909 ms
199 - 90 - 6484,2554 ms
200 - 79 - 6483,2156 ms
201 - 78 - 6465,258 ms
202 - 118 - 6500,8723 ms
203 - 105 - 6443,3615 ms
204 - 89 - 6461,1023 ms
205 - 151 - 6462,8185 ms
206 - 151 - 6466,4411 ms
207 - 121 - 6517,2554 ms
208 - 122 - 6490,3722 ms
209 - 133 - 6508,2696 ms
210 - 106 - 6500,4218 ms
211 - 98 - 6467,9838 ms
212 - 106 - 6530,569 ms
213 - 98 - 6503,676 ms
214 - 127 - 6496,0969 ms
215 - 101 - 6450,4397 ms
216 - 109 - 6533,3157 ms
217 - 93 - 6480,7429 ms
218 - 106 - 6483,0694 ms
219 - 111 - 6483,8853 ms
220 - 111 - 6482,9037 ms
221 - 103 - 6464,034 ms
222 - 82 - 6535,608 ms
223 - 109 - 6503,2038 ms
224 - 73 - 6492,6077 ms
225 - 96 - 6458,5996 ms
226 - 88 - 6502,4498 ms
227 - 72 - 6472,4208 ms
228 - 78 - 6483,9682 ms
229 - 95 - 6483,1308 ms
230 - 102 - 6482,0059 ms
231 - 89 - 6451,0081 ms
232 - 101 - 6497,1401 ms
233 - 89 - 6486,0601 ms
234 - 89 - 6491,6418 ms
235 - 96 - 6490,2006 ms
236 - 79 - 6487,5005 ms
237 - 95 - 6495,7362 ms
238 - 99 - 6480,9605 ms
239 - 104 - 6481,8318 ms
240 - 86 - 6472,1502 ms
241 - 97 - 6462,6725 ms
242 - 96 - 6532,3071 ms
243 - 103 - 6466,2166 ms
244 - 77 - 6499,4681 ms
245 - 96 - 6481,3716 ms
246 - 77 - 6529,3198 ms
247 - 97 - 6501,7273 ms
248 - 73 - 6452,3112 ms
249 - 82 - 6483,0133 ms
250 - 79 - 6483,996 ms
251 - 81 - 6480,2448 ms
252 - 131 - 6481,6668 ms
253 - 86 - 6484,7161 ms
254 - 66 - 6500,7939 ms
255 - 52 - 6464,762 ms
256 - 61 - 6494,5451 ms
257 - 79 - 6454,1473 ms
258 - 77 - 6478,6157 ms
259 - 101 - 6488,0657 ms
260 - 58 - 6465,4199 ms
261 - 65 - 6514,637 ms
262 - 87 - 6499,5884 ms
263 - 66 - 6532,5766 ms
264 - 77 - 6501,7145 ms
265 - 104 - 6462,9999 ms
266 - 81 - 6484,58 ms
267 - 74 - 6484,058 ms
268 - 51 - 6484,3837 ms
269 - 57 - 6482,8565 ms
270 - 63 - 6495,4028 ms
271 - 45 - 6495,202 ms
272 - 69 - 6488,1939 ms
273 - 67 - 6537,2997 ms
274 - 65 - 6480,0535 ms
275 - 60 - 6497,1302 ms
276 - 65 - 6492,6148 ms
277 - 99 - 6484,1901 ms
278 - 64 - 6490,0784 ms
279 - 78 - 6482,1727 ms
280 - 58 - 6499,5477 ms
281 - 57 - 6477,0981 ms
282 - 86 - 6474,4935 ms
283 - 67 - 6516,2753 ms
284 - 81 - 6466,2999 ms
285 - 71 - 6499,5628 ms
286 - 47 - 6474,1025 ms
287 - 57 - 6478,7827 ms
288 - 60 - 6478,8631 ms
289 - 86 - 6482,8664 ms
290 - 83 - 6498,7801 ms
291 - 79 - 6483,646 ms
292 - 70 - 6481,3728 ms
293 - 40 - 6511,9448 ms
294 - 39 - 6505,7668 ms
295 - 85 - 6466,2278 ms
296 - 84 - 6490,3104 ms
297 - 60 - 6505,9004 ms
298 - 54 - 6464,4304 ms
299 - 50 - 6484,3914 ms
300 - 75 - 6460,4934 ms
301 - 93 - 6476,8384 ms
302 - 81 - 6472,0259 ms
303 - 58 - 6482,8586 ms
304 - 66 - 6503,0628 ms
305 - 76 - 6462,0256 ms
306 - 80 - 6450,3522 ms
307 - 43 - 6457,2358 ms
308 - 64 - 6480,7145 ms
