201. E1/E2 	17213 / 2801	38901 ms 26929/430 1305-4965-664	E: 3674 / 2625
202. E1/E2 	17293 / 2795	39368 ms 26881/429 1321-4967-1092	E: 3105 / 1828
203. E1/E2 	17207 / 2733	38857 ms 27266/448 1302-4840-220	E: 3145 / 2213
204. E1/E2 	17231 / 2818	38817 ms 26910/439 1318-5009-440	E: 3000 / 1907
205. E1/E2 	17154 / 2812	39481 ms 26924/437 1339-5041-1103	E: 3137 / 1845
206. E1/E2 	17154 / 2772	39027 ms 27069/431 1315-4975-448	E: 3178 / 1942
207. E1/E2 	17119 / 2691	39028 ms 27160/435 1266-4715-668	E: 3291 / 2476
208. E1/E2 	17083 / 2731	38515 ms 27019/439 1333-4894-223	E: 3592 / 2462
209. E1/E2 	17079 / 2719	38786 ms 26993/441 1308-4834-446	E: 2972 / 1788
210. E1/E2 	17073 / 2791	39020 ms 27143/440 1332-4986-443	E: 3215 / 2255
211. E1/E2 	17096 / 2688	38960 ms 26914/428 1301-4775-889	E: 3985 / 2496
212. E1/E2 	17137 / 2764	39268 ms 26994/432 1305-4902-889	E: 3143 / 1806
213. E1/E2 	17000 / 2635	39299 ms 26977/443 1323-4744-1120	E: 2888 / 1857
214. E1/E2 	16939 / 2694	38819 ms 27011/439 1295-4789-660	E: 3477 / 1945
215. E1/E2 	17002 / 2703	38665 ms 27089/441 1314-4826-222	E: 2924 / 1803
216. E1/E2 	16944 / 2721	38370 ms 27094/434 1303-4859-1	E: 3043 / 1951
217. E1/E2 	16813 / 2662	38495 ms 27046/431 1263-4701-447	E: 3696 / 2185
218. E1/E2 	17072 / 2726	39413 ms 27009/440 1321-4867-1097	E: 2822 / 1787
219. E1/E2 	17025 / 2766	39058 ms 27083/447 1304-4912-666	E: 4883 / 2616
220. E1/E2 	16988 / 2766	38906 ms 27101/442 1312-4965-438	E: 3185 / 2030
221. E1/E2 	16798 / 2698	38544 ms 26978/429 1277-4799-421	E: 3171 / 2044
222. E1/E2 	16823 / 2679	38762 ms 27001/433 1269-4756-651	E: 3489 / 2044
223. E1/E2 	16875 / 2656	38635 ms 27064/436 1305-4745-446	E: 3062 / 2100
224. E1/E2 	16892 / 2775	38720 ms 26991/430 1287-4911-443	E: 3305 / 2057
225. E1/E2 	16865 / 2672	39552 ms 27312/440 1277-4758-1108	E: 3258 / 1771
226. E1/E2 	16889 / 2693	38395 ms 27030/437 1280-4779-238	E: 3046 / 1870
227. E1/E2 	16837 / 2670	38602 ms 27025/440 1284-4741-454	E: 2594 / 1664
228. E1/E2 	16762 / 2766	39180 ms 27189/444 1301-4967-653	E: 4153 / 2519
229. E1/E2 	16825 / 2708	38135 ms 26992/430 1279-4816-1	E: 3068 / 1827
230. E1/E2 	16865 / 2778	39430 ms 27251/432 1275-4933-861	E: 3510 / 2013
231. E1/E2 	16712 / 2684	39184 ms 27132/456 1278-4780-881	E: 2790 / 1733
232. E1/E2 	16650 / 2653	37996 ms 26939/442 1271-4703-1	E: 3468 / 2197
233. E1/E2 	16743 / 2676	39521 ms 26975/436 1297-4820-1333	E: 3679 / 2737
234. E1/E2 	16585 / 2665	38905 ms 27177/435 1262-4753-663	E: 3281 / 2105
235. E1/E2 	16693 / 2605	39060 ms 27119/428 1290-4664-892	E: 3726 / 2528
236. E1/E2 	16672 / 2670	38951 ms 27023/437 1274-4725-869	E: 3082 / 2036
237. E1/E2 	16576 / 2680	38465 ms 27130/441 1264-4765-218	E: 3923 / 2497
238. E1/E2 	16685 / 2601	38291 ms 27025/438 1292-4667-226	E: 2605 / 1674
239. E1/E2 	16652 / 2677	38455 ms 26918/429 1269-4738-446	E: 2797 / 1853
240. E1/E2 	16638 / 2580	39126 ms 27325/436 1255-4587-878	E: 2924 / 2047
